,name,type,latitude,longitude,address,rating,user_ratings_total
44,Assaí Wholesale,supermarket,-22.3164857,-49.06799849999999,"Avenida Nações Unidas, quadra 06,s/n Centro - Vila Nova Cidade Universitaria, Bauru",4.3,2947.0
45,Supermercado Casa do Arroz,supermarket,-22.314156,-49.07139100000001,"Rua Araújo Leite - Centro, Bauru",4.5,906.0
46,Tauste - Duque de Caxias,supermarket,-22.3261257,-49.0544869,"Avenida Duque de Caxias, 22-42 Vila Cardia - Jardim Brasil, Bauru",4.7,10733.0
47,Superbom Supermarkets - Araruna,supermarket,-22.3019217,-49.0593248,"Rua Felício Atala, 111 - Jardim Araruna, Bauru",3.7,662.0
48,Spani Atacadista,supermarket,-22.3067257,-49.07261949999999,"Avenida Moussa Nakhl Tobias, 3-55 - Parque Sao Geraldo, Bauru",4.2,2220.0
49,Pão de Açúcar,supermarket,-22.3308349,-49.0667699,"Rua Araújo Leite, 2250 - Araujo Leite, Bauru",4.3,2286.0
50,Superbom Supermarkets - Premium,supermarket,-22.3283443,-49.0448532,"Avenida Orlando Ranieri, 6-20 - Jardim Marambá, Bauru",4.3,1385.0
51,Disfer Distribuidora Alimentos,supermarket,-22.2954521,-49.067089,"6-11, Rua Manoel Mendes Caetano - Novo Jardim Pagani, Bauru",4.4,101.0
52,Tauste Rio Branco,supermarket,-22.3336429,-49.0696459,"Rua Rio Branco, 20-40 - Vila America, Bauru",4.6,8130.0
53,Confiança Supermercados - Mary dota,supermarket,-22.2958289,-49.0459075,"Avenida Doutor Marcos de Paula Raphael, 13-13 - Núcleo Habitacional Mary Dota, Bauru",4.1,2301.0
54,Tudo Aqui,supermarket,-22.3157463,-49.0294466,"Rua São Lucas, 560 - Jardim Redentor, Bauru",3.0,1.0
55,Supermercado San Marcos,supermarket,-22.3299195,-49.0341343,"Rua Benedito Ribeiro dos Santos, Quadra 12 - Nucleo Habitacional Presidente Geisel, Bauru",4.4,670.0
56,Panela Cheia Supermercado,supermarket,-22.3114373,-49.09274790000001,"Rua Silva Jardim - Jardim Vania Maria, Bauru",4.4,908.0
57,Panelão Supermercados,supermarket,-22.3042803,-49.09904100000001,"Rua Professor Ayrton Busch, 1 - Jardim Santa Edwirges, Bauru",3.9,1862.0
58,Panelão Supermercados,supermarket,-22.2763742,-49.06795899999999,"Rua Gaudêncio Piola, 7-35 - Vila Sao Paulo, Bauru",4.0,937.0
59,Panelão Supermercados,supermarket,-22.3204776,-49.0254201,"Rua Rafael Pereira Martini, 12-66 - Jardim Redentor, Bauru",4.1,5060.0
60,Posto Ipiranga,convenience_store,-22.311364,-49.06249280000001,"Avenida Nuno de Assis, 20 50 - Centro, Bauru",4.3,396.0
61,Graal Sem Limites,convenience_store,-22.3178373,-49.0549311,"Rodovia Marechal Rondon, km 342 - Vila Cardia, Bauru",3.8,17868.0
62,Posto Ipiranga,convenience_store,-22.3221374,-49.0691521,"Avenida Rodrigues Alves, 11 - Centro, Bauru",4.2,277.0
63,Pão de Açúcar,convenience_store,-22.3308349,-49.0667699,"Rua Araújo Leite, 2250 - Araujo Leite, Bauru",4.3,2286.0
64,Farmácias Nissei,convenience_store,-22.32914160000001,-49.0703516,"Rua Rio Branco, 15-78 - Centro, Bauru",4.3,109.0
